Дата,Новые комментарии,Поделились,"Процент отметок ""Нравится"" (%)","Отметки ""Не нравится""","Отметки ""Нравится""",Отказались от подписки,Новые подписчики,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Просмотры,Время просмотра (часы),Средняя продолжительность просмотра
2022-10-03,1.0,11.0,96.0,1.0,24.0,4.0,10.0,191.0,539.0,1.5274,730.0,6.34,8640.0,6.0,25.43,1115.0,43.3319,0.03886269058295964
2022-10-02,0.0,7.0,89.47,2.0,17.0,2.0,9.0,173.0,534.0,1.5884,707.0,7.02,7877.0,7.0,25.74,1123.0,42.8204,0.038130365093499555
2022-10-01,0.0,4.0,92.31,1.0,12.0,2.0,4.0,108.0,291.0,1.594,399.0,5.92,5730.0,2.0,24.21,636.0,22.6337,0.0355875786163522
2022-09-30,0.0,1.0,75.0,2.0,6.0,0.0,1.0,109.0,285.0,1.6066,394.0,4.82,6541.0,1.0,25.92,633.0,24.657,0.03895260663507109
2022-09-29,2.0,3.0,100.0,0.0,20.0,1.0,11.0,169.0,454.0,1.5522,623.0,6.61,7710.0,10.0,22.32,967.0,33.9467,0.03510517063081696
2022-09-28,0.0,11.0,86.67,2.0,13.0,1.0,6.0,194.0,488.0,1.8196,682.0,6.9,8798.0,5.0,26.98,1241.0,51.0264,0.04111716357775987
2022-09-27,0.0,6.0,90.0,2.0,18.0,0.0,8.0,201.0,547.0,1.7126,748.0,5.99,9911.0,8.0,29.12,1281.0,55.5678,0.04337845433255269
2022-09-26,0.0,10.0,92.31,1.0,12.0,3.0,6.0,217.0,478.0,1.8158,695.0,6.1,9999.0,3.0,26.72,1262.0,50.4303,0.03996061806656102
2022-09-25,1.0,5.0,87.5,2.0,14.0,2.0,13.0,193.0,603.0,1.8216,796.0,5.52,13053.0,11.0,26.52,1450.0,53.4218,0.03684262068965517
2022-09-24,0.0,6.0,88.89,1.0,8.0,1.0,4.0,111.0,316.0,1.7939,427.0,4.8,7253.0,3.0,25.26,766.0,27.5035,0.035905352480417756
2022-09-23,1.0,3.0,100.0,0.0,9.0,1.0,12.0,136.0,297.0,1.8245,433.0,5.15,7249.0,11.0,24.05,790.0,27.6184,0.03496
2022-09-22,0.0,14.0,100.0,0.0,11.0,1.0,4.0,182.0,444.0,1.8403,626.0,5.74,9350.0,3.0,28.88,1152.0,46.5792,0.040433333333333335
2022-09-21,0.0,14.0,90.91,1.0,10.0,3.0,10.0,203.0,473.0,1.858,676.0,6.27,8953.0,7.0,33.22,1256.0,59.6767,0.04751329617834395
2022-09-20,1.0,17.0,100.0,0.0,18.0,1.0,16.0,195.0,497.0,1.8743,692.0,4.64,12193.0,15.0,30.45,1297.0,57.4658,0.044306707787201235
